stn_id,stn_name,stn_lat,stn_lon,open_status,opening_month,opening_month_num,opening_year,closing_month,closing_month_num,closing_year,duration_days,borough,puma_id,puma_name,cd_name,ct2010
3063,Nostrand Ave & Myrtle Ave,40.6952701,-73.9523811,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4003,Bedford-Stuyvesant,Bedford Stuyvesant,36047025500
3062,Myrtle Ave & Marcy Ave,40.6953982,-73.9495491,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4003,Bedford-Stuyvesant,Bedford Stuyvesant,36047025500
3071,Boerum St & Broadway,40.7053808,-73.9497652,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047051100
3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4002,Bushwick,Bushwick,36047028501
3061,Throop Ave & Myrtle Ave,40.6962294,-73.9437109,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4003,Bedford-Stuyvesant,Bedford Stuyvesant,36047025902
3064,Myrtle Ave & Lewis Ave,40.6968196,-73.9375693,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4003,Bedford-Stuyvesant,Bedford Stuyvesant,36047028700
3066,Tompkins Ave & Hopkins St,40.6995761,-73.9470842,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4003,Bedford-Stuyvesant,Bedford Stuyvesant,36047025700
3086,Graham Ave & Conselyea St,40.715143,-73.944507,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047049700
3093,N 6 St & Bedford Ave,40.7174517,-73.9585094,1,August,8,2015,NA,NA,NA,1185,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047055300
3114,India St & East River,40.7316514,-73.9616189,0,August,8,2015,April,4,2017,637,Brooklyn,4001,Greenpoint & Williamsburg,Williamsburg/Greenpoint,36047056500
